токен	IDF
забыт	3.218876
забытый	4.605170
завал	4.605170
заварного	2.525729
заварное	0.116534
заварной	0.116534
заварном	3.912023
заварные	3.218876
заварных	4.605170
заведения	2.525729
заведи	4.605170
заверить	3.912023
завернутые	4.605170
завершение	3.912023
завершенные	4.605170
завершившийся	3.218876
зависимости	3.506558
зависит	2.120264
завитушки	4.605170
завоюет	4.605170
завтрак	0.094311
завтрака	2.995732
завтракать	4.605170
завтраке	4.605170
завтраки	0.127833
завтраком	3.912023
завтраку	3.218876
завтрашнего	4.605170
завязан	4.605170
завязывать	3.912023
завёрнутые	4.605170
заглядывайте	4.605170
загляните	2.659260
загорелся	4.605170
заготавливаем	4.605170
заготавливали	4.605170
заготавливать	4.605170
заготовить	3.218876
заготовка	3.506558
заготовке	4.605170
заготовки	0.040822
заготовку	3.912023
заготовок	3.218876
заготовочка	3.912023
загруженных	4.605170
загружу	4.605170
загустения	4.605170
загуститель	4.605170
загущают	4.605170
задавать	0.040822
задаваться	4.605170
задали	2.659260
задать	4.605170
задача	4.605170
задаю	3.218876
задержали	4.605170
задубели	4.605170
задумчиво	4.605170
заигрыш	4.605170
заинтересовал	2.407946
заинтересовала	3.218876
заинтересовалась	4.605170
заинтересовались	3.912023
заинтересовало	4.605170
заинтересуется	4.605170
заинтриговал	4.605170
заинтриговала	3.506558
заинтригована	4.605170
займет	3.506558
займу	4.605170
займут	4.605170
займёт	3.912023
зайца	0.116534
зайцев	4.605170
заказ	3.506558
заказать	4.605170
заказывала	4.605170
заказывать	4.605170
закал	4.605170
заканчивался	4.605170
заканчиваются	4.605170
закарпатской	4.605170
закваска	0.040822
заквасками	0.116534
закваске	4.605170
закваску	4.605170
заквасок	0.127833
заквашивание	4.605170
закидайте	4.605170
закидают	4.605170
закладывали	4.605170
заключающийся	4.605170
законодательства	4.605170
законодательством	4.605170
законсервированные	4.605170
закончился	4.605170
закрепится	4.605170
закристаллизованный	4.605170
закрутках	4.605170
закрывали	4.605170
закрытый	0.116534
закрыть	4.605170
закупка	4.605170
закуска	1.347074
закусками	4.605170
закуски	0.040822
закуской	3.912023
закуску	0.116534
закусок	3.218876
закусон	4.605170
закусончик	0.116534
закусочка	0.116534
закусочная	4.605170
закусочное	4.605170
закусочной	4.605170
закусочном	4.605170
закусочному	4.605170
закусочные	0.116534
закусочный	2.120264
закусочных	3.218876
заламинировать	2.407946
зале	4.605170
залежались	4.605170
залежалых	4.605170
заливаю	4.605170
заливка	4.605170
заливке	2.659260
заливкой	4.605170
заливная	3.506558
заливное	0.040822
заливной	4.605170
заливных	3.506558
залил	3.218876
залом	4.605170
заманчиво	4.605170
замариновал	3.912023
замаринованные	3.912023
замариновать	3.912023
замачивать	3.912023
замена	4.605170
заменила	4.605170
заменить	2.659260
заменой	4.605170
замены	4.605170
заменяет	3.912023
заменяла	4.605170
заменят	3.218876
заменять	4.605170
замерзает	4.605170
замерзшие	4.605170
замес	3.506558
замеса	2.659260
замесила	4.605170
замесить	3.506558
заметив	3.912023
заметил	4.605170
заметила	3.912023
заметить	3.506558
заметку	2.995732
заметьте	4.605170
замечательная	3.506558
замечательно	2.813411
замечательного	2.120264
замечательное	3.218876
замечательной	3.912023
замечательные	2.207275
замечательный	1.514128
замечательным	2.302585
замечательных	4.605170
замечтательные	4.605170
замешана	4.605170
замешивается	4.605170
замешивайте	3.912023
замкнутый	4.605170
замораживать	4.605170
замораживают	4.605170
заморачиваться	4.605170
замороженной	4.605170
замороженные	4.605170
замороженный	3.912023
замороженые	4.605170
заморозить	2.659260
заморозка	0.105361
заморозке	4.605170
заморозки	3.912023
замороченные	4.605170
заморский	4.605170
замочила	4.605170
замочить	4.605170
занесите	4.605170
занимайся	3.506558
занимался	4.605170
заниматься	4.605170
занимают	4.605170
заново	4.605170
заносы	4.605170
занятие	4.605170
занять	4.605170
зао	4.605170
заодно	3.506558
заочный	4.605170
запад	0.116534
запах	2.407946
запахи	3.912023
запахом	4.605170
запекается	2.659260
запекание	3.912023
запеканием	4.605170
запекания	1.560648
запеканка	0.105361
запеканки	0.040822
запеканкой	4.605170
запеканку	3.218876
запекать	2.813411
запекаться	3.218876
запекаю	4.605170
запекают	4.605170
запеченная	2.120264
запеченное	3.218876
запеченной	2.995732
запеченную	4.605170
запеченные	2.302585
запеченный	1.897120
запеченным	4.605170
запеченных	4.605170
запечь	3.506558
запечённая	4.605170
запечённую	4.605170
запечённые	3.506558
запечённый	2.995732
запечёные	4.605170
запивать	4.605170
записан	4.605170
записей	3.912023
записи	3.506558
записной	4.605170
записных	3.506558
записывала	4.605170
записывать	4.605170
запись	4.605170
записью	2.302585
заполнил	4.605170
заполнять	3.912023
заполучила	4.605170
запоминаю	4.605170
запоминаются	4.605170
запоминающееся	4.605170
заправка	0.040822
заправке	3.912023
заправки	4.605170
заправкой	3.218876
заправку	4.605170
заправленный	4.605170
заправляла	4.605170
заправляют	4.605170
заправочный	4.605170
заправочными	4.605170
запрещено	4.605170
запрос	4.605170
запросов	4.605170
запросто	3.912023
запросу	2.207275
запчасти	4.605170
зарабатывают	4.605170
заражал	4.605170
заранее	1.660731
зарегистрировавшись	0.040822
зарегистрировалась	4.605170
зарегистрированные	2.207275
зарегистрировано	4.605170
зарегистрированы	3.506558
зарегистрироваться	0.030459
зарегистрируйтесь	4.605170
зарплату	4.605170
засахаренные	4.605170
засверкают	4.605170
засветили	4.605170
засечь	2.659260
заслуживает	4.605170
засолить	3.912023
засолка	0.116534
засолки	4.605170
засопливил	4.605170
заставила	3.912023
заставить	4.605170
застала	4.605170
застелить	4.605170
застолий	4.605170
застолье	3.912023
застолья	2.995732
застывает	4.605170
застывания	4.605170
застывают	4.605170
затар	4.605170
затаром	4.605170
затей	4.605170
затиркой	4.605170
затируха	4.605170
затируху	4.605170
затрат	2.995732
затратах	4.605170
затратен	4.605170
затратив	3.506558
затратить	4.605170
затратнее	4.605170
затратно	4.605170
затруднений	3.506558
затруднились	4.605170
затянул	4.605170
затянулась	3.506558
заходит	4.605170
заходите	0.755023
захотела	3.506558
захотелось	2.407946
захочется	3.506558
зацепился	3.506558
зачастую	4.605170
зачет	3.506558
зачистил	4.605170
зачищенных	4.605170
защита	4.605170
защитную	4.605170
защиту	4.605170
защиты	4.605170
заявили	4.605170
заявляет	4.605170
заявляло	3.218876
заявляю	2.207275
заявляют	4.605170
звание	4.605170
званый	0.127833
звготовить	4.605170
звезд	2.995732
звезда	0.127833
звездой	4.605170
звезды	4.605170
звонил	2.995732
звучать	3.912023
звучит	2.995732
звёздные	0.116534
звёздочками	4.605170
здоровая	4.605170
здорово	4.605170
здоровое	0.116534
здоровой	2.995732
здоровый	0.116534
здоровых	4.605170
здоровье	2.813411
здоровья	2.407946
здравствует	4.605170
здравствуйте	2.407946
зебра	4.605170
зебры	4.605170
зеленая	4.605170
зелени	2.120264
зеленые	2.302585
зеленый	1.021651
зеленым	3.218876
зелень	0.094311
зеленью	2.525729
зеленюшкой	4.605170
зелёного	3.912023
зелёной	4.605170
зелёным	4.605170
земле	4.605170
земли	3.912023
земля	3.506558
зеркальной	4.605170
зерна	3.912023
зерно	4.605170
зерновая	4.605170
зефир	0.040822
зима	2.813411
зиме	4.605170
зимнее	3.912023
зимние	0.051293
зимний	3.218876
зимних	3.506558
зимнюю	3.506558
зимняя	3.506558
зимой	2.995732
зиму	0.040822
зимы	4.605170
зира	3.218876
злаковые	4.605170
злых	4.605170
змея	4.605170
знаем	3.506558
знает	2.302585
знаете	2.302585
знаком	4.605170
знакома	4.605170
знакомая	3.912023
знакомой	2.525729
знакомство	4.605170
знакомы	4.605170
знакомые	2.813411
знакомый	2.813411
знакомым	2.525729
знакомыми	3.912023
знакомьтесь	3.912023
знакомясь	4.605170
знал	4.605170
знала	2.995732
знали	3.506558
знаменитейший	4.605170
знаменитого	4.605170
знаменитое	4.605170
знаменитом	4.605170
знаменитую	4.605170
знаменитые	4.605170
знаменитый	3.912023
знания	4.605170
знаниях	4.605170
знатоков	4.605170
знать	3.912023
значат	4.605170
значения	4.605170
значит	2.659260
значительно	3.506558
знаю	0.755023
знают	2.525729
зовите	3.912023
золовкиными	4.605170
золотая	0.116534
золотистая	3.912023
золотистой	2.659260
золотистые	3.912023
золотой	3.506558
золотую	4.605170
золотых	4.605170
зонтичных	4.605170
зраз	4.605170
зразы	2.040221
зрения	4.605170
зрителей	4.605170
зря	3.506558
зуб	3.506558
зубок	4.605170
зять	3.912023
зятья	4.605170
иакова	4.605170
ибо	4.605170
иван	2.525729
ивана	4.605170
иванова	0.127833
иваныч	2.525729
ивлев	3.912023
ивлевым	4.605170
игорь	3.218876
игра	3.506558
играет	3.218876
играл	4.605170
играли	4.605170
играют	4.605170
игре	4.605170
игруша	2.995732
игрушек	4.605170
игры	3.912023
идеал	4.605170
идеала	4.605170
идеале	4.605170
идеален	4.605170
идеальная	0.116534
идеально	1.514128
идеального	0.116534
идеальное	0.116534
идеальную	4.605170
идеальные	3.912023
идеальный	1.966113
идеальным	2.995732
идеальных	3.912023
идеей	2.995732
идейка	2.995732
идейки	0.116534
идейкой	3.912023
идентификатора	4.605170
идентификаторы	4.605170
идентичным	3.506558
идет	2.120264
идете	4.605170
идею	2.525729
идея	2.207275
идиллия	4.605170
идильга	4.605170
идол	4.605170
идти	3.506558
избавиться	4.605170
избежать	4.605170
избирательно	4.605170
избито	4.605170
избранного	4.605170
избранное	4.605170
избушке	4.605170
избытка	4.605170
извел	4.605170
известен	3.912023
известнейшее	3.912023
известнейшую	4.605170
известно	2.525729
известного	2.995732
известное	3.506558
известной	2.407946
известном	3.912023
известны	4.605170
известный	1.897120
известным	2.995732
известных	3.218876
извещения	4.605170
извинения	2.302585
извините	4.605170
изготавливают	3.912023
изготовить	4.605170
изготовление	4.605170
изготовлении	4.605170
изготовления	3.912023
изготовляется	4.605170
издании	4.605170
издания	4.605170
издаст	4.605170
издательства	4.605170
издеваетеееееесь	4.605170
изделий	4.605170
изделию	4.605170
изделия	0.116534
изделиям	4.605170
изделиями	0.116534
изделиях	4.605170
излагаете	4.605170
измельченным	4.605170
измельчить	4.605170
измельчённого	4.605170
изменен	4.605170
изменений	2.995732
изменения	3.912023
изменениями	3.506558
изменил	4.605170
изменила	2.813411
изменит	4.605170
измениться	4.605170
изменять	3.912023
измученные	4.605170
изначально	3.912023
изначальное	4.605170
изнутри	3.912023
изобразить	4.605170
изобретен	2.525729
изобретение	2.525729
изобретений	4.605170
изобретено	4.605170
израиль	4.605170
изредка	3.218876
изумительнейший	2.659260
изумительно	3.506558
изумительного	4.605170
изумительное	3.912023
изумительной	3.912023
изумительные	4.605170
изумительный	3.218876
изумительным	3.912023
изумрудный	3.912023
изучены	2.995732
изучила	4.605170
изучили	3.218876
изыск	4.605170
изысканного	4.605170
изысканному	4.605170
изысканную	4.605170
изысканный	3.912023
изысканным	3.912023
изыски	3.506558
изысков	3.912023
изюм	2.040221
изюма	3.912023
изюминка	2.302585
изюминкой	4.605170
изюминку	3.506558
изюмом	3.912023
икеи	4.605170
икея	4.605170
икра	0.040822
икре	4.605170
икрой	3.506558
икру	3.218876
икры	4.605170
иллюстрирован	2.120264
имбирное	3.912023
имбирь	1.897120
имбиря	4.605170
имеет	1.832581
имейте	4.605170
имел	4.605170
имела	4.605170
имелись	4.605170
именем	0.040822
имени	3.506558
именинник	4.605170
именинницы	4.605170
именуемую	4.605170
именуют	4.605170
имею	3.912023
имеют	2.302585
имеются	2.659260
имея	2.813411
ими	1.832581
имитацией	4.605170
имитирующая	4.605170
иммунитет	4.605170
имя	2.995732
иначе	1.897120
инверторной	0.127833
ингредиент	3.912023
ингредиента	2.813411
ингредиентам	1.469676
ингредиентами	4.605170
ингредиентах	3.912023
ингредиентов	1.771957
ингредиентом	4.605170
ингредиенты	0.139262
индейка	3.218876
индейки	0.094311
индейкой	0.116534
индианола	4.605170
индивидуально	4.605170
индии	2.813411
индийская	0.116534
индийски	2.659260
индийские	4.605170
индийского	4.605170
индийской	3.218876
индилайт	0.116534
индиресные	0.116534
индюшачий	4.605170
индюшка	4.605170
индюшки	3.912023
инета	1.832581
инете	2.813411
инн	4.605170
инночка	4.605170
иногда	1.897120
иного	4.605170
иное	2.302585
иной	4.605170
иностранном	4.605170
инструкции	3.912023
инструкциями	0.040822
интерактив	4.605170
интересам	4.605170
интересен	3.218876
интересна	4.605170
интересная	2.659260
интересно	1.660731
интересное	3.218876
интересную	4.605170
интересные	2.659260
интересный	1.897120
интересным	2.995732
интересных	3.912023
интересующей	4.605170
интернета	1.771957
интернете	1.309333
информации	3.912023
информационных	4.605170
информацию	4.605170
иные	4.605170
иосифа	4.605170
ира	4.605170
иракская	0.116534
иранская	0.116534
ирвайн	4.605170
ирепка	4.605170
иржка	3.912023
ирине	4.605170
иринка	4.605170
ирину	4.605170
ирины	4.605170
иришка	4.605170
ирландская	0.116534
ирландский	4.605170
ирландской	4.605170
ирочка	3.912023
ирочки	4.605170
ирпенчанка	4.605170
иррез	1.347074
иру	4.605170
ируня	3.912023
ирушенька	2.525729
исида	4.605170
искаженное	4.605170
искал	4.605170
искала	2.302585
искать	3.506558
исключением	3.912023
исключения	3.912023
исключительная	4.605170
исключительно	3.218876
исключительных	3.912023
исключить	1.469676
искренне	0.116534
искренние	2.525729
искусно	4.605170
искусства	4.605170
исландская	0.116534
испании	3.912023
испанию	4.605170
испанская	0.116534
испанский	4.605170
испанских	4.605170
испанской	4.605170
испанцы	4.605170
испарения	4.605170
испеки	0.116534
испекла	3.912023
испеку	4.605170
испечь	1.966113
исполнение	4.605170
исполнении	2.813411
исполнения	4.605170
исполнимое	4.605170
использовала	2.995732
использовали	3.506558
использование	3.506558
использованием	3.912023
использовании	4.605170
использованию	4.605170
использованном	4.605170
использовано	4.605170
использовать	1.514128
используемый	4.605170
использует	4.605170
используется	1.714798
использую	2.995732
используют	3.506558
используются	4.605170
используя	3.506558
испортить	4.605170
исправлен	3.912023
исправляемся	4.605170
исправляю	4.605170
испробовано	4.605170
испробуйте	4.605170
испытания	4.605170
испытывая	2.407946
истекать	4.605170
истине	2.659260
истинная	4.605170
истинным	3.218876
истину	4.605170
истокам	3.506558
историей	3.912023
истории	0.116534
историю	0.116534
история	3.506558
источает	3.218876
источник	2.525729
источниках	4.605170
исходя	2.995732
исчез	3.506558
исчезает	3.506558
исчезающее	4.605170
исчезающий	3.912023
исчезли	4.605170
итак	1.609438
италии	0.105361
итальянец	3.912023
итальянская	0.116534
итальянски	3.218876
итальянские	3.218876
итальянский	2.995732
итальянскими	4.605170
итальянских	4.605170
итальянской	3.506558
итальянском	3.218876
итальянскую	3.912023
итальянца	4.605170
итальянцы	3.218876
итальяшка	4.605170
итоге	3.218876
итоги	4.605170
итогов	4.605170
итон	4.605170
ищу	2.659260
ищут	1.609438
июль	4.605170
июля	0.597837
июнь	4.605170
июня	0.579818
йа	3.912023
йованович	4.605170
йогурт	0.040822
йогурта	4.605170
йогурте	3.506558
йогуртные	4.605170
йогуртового	4.605170
йогуртовым	4.605170
йогуртом	3.912023
йорк	2.407946
йотама	4.605170
ка	3.912023
каааааак	4.605170
кабартма	4.605170
кабачки	0.040822
кабачков	2.040221
кабачковая	3.218876
кабачково	4.605170
кабачковой	4.605170
кабачковую	4.605170
кабачковые	3.912023
кабачковый	3.218876
кабачок	1.771957
кабинете	4.605170
каварта	4.605170
кавказе	3.912023
кавказская	0.116534
кавказской	4.605170
кадушке	4.605170
каждого	2.659260
каждой	1.832581
каждом	2.525729
каждому	4.605170
каждую	3.506558
каждым	2.302585
кажется	1.714798
казалось	1.609438
казался	4.605170
казане	0.116534
казарму	4.605170
казаться	4.605170
казахская	0.116534
казни	4.605170
казы	4.605170
кайла	4.605170
кайпири	4.605170
кайпиринья	4.605170
какао	0.040822
какими	3.506558
каких	2.525729
какого	4.605170
каком	2.120264
калебас	4.605170
калейдоскоп	0.116534
калжа	4.605170
калий	4.605170
калининграда	4.605170
калинница	4.605170
калины	4.605170
калифорнии	4.605170
калмыцкая	0.116534
калории	4.605170
калорий	2.813411
калорийное	3.218876
калорийной	2.659260
калорийность	3.506558
калорийны	4.605170
калорийный	3.912023
калька	4.605170
кальмар	0.040822
кальмара	4.605170
кальмарами	3.912023
кальмаров	3.506558
кальмарчики	3.912023
кальмары	3.506558
кальцоне	2.813411
каменными	4.605170
камень	3.912023
камера	0.116534
камнях	4.605170
камуфляжная	4.605170
канаде	3.912023
канадская	0.116534
канадски	3.912023
канадский	4.605170
канадского	4.605170
канадском	4.605170
канал	0.040822
канале	0.040822
канапе	0.040822
канапули	3.912023
канжика	4.605170
каникул	4.605170
каннеллони	3.912023
канун	4.605170
канцлеру	4.605170
капельки	4.605170
капелькой	4.605170
каперсы	2.525729
капитан	2.995732
капли	4.605170
капризный	4.605170
капуста	0.040822
капусте	4.605170
капустная	4.605170
капустно	4.605170
капустное	4.605170
капустной	3.912023
капустные	2.995732
капустный	2.302585
капустных	2.813411
капустняк	0.040822
капустой	1.966113
капусточке	4.605170
капусту	2.659260
капусты	0.040822
капустяник	4.605170
капучино	4.605170
каракатицы	4.605170
карамели	3.912023
карамелизации	4.605170
карамелизированная	4.605170
карамелизированной	4.605170
карамелизуется	3.218876
карамель	0.040822
карамельно	4.605170
карамельный	3.218876
карамелью	3.912023
карапузы	4.605170
карбонад	3.506558
карбонада	3.912023
карбонара	4.605170
кардамон	3.218876
кардинально	3.912023
карима	3.506558
карина	4.605170
каркасный	0.116534
карнавала	4.605170
карповых	4.605170
карри	2.813411
карроллтон	3.506558
картинка	3.912023
картинке	3.912023
карто	4.605170
картофеле	4.605170
картофелем	2.813411
картофелин	4.605170
картофель	0.040822
картофельная	2.995732
картофельно	2.995732
картофельного	3.912023
картофельное	0.040822
картофельной	4.605170
картофельные	2.525729
картофельный	0.116534
картофельным	4.605170
картофеля	1.897120
картошек	3.506558
картошечка	2.407946
картошечкой	2.525729
картошечку	4.605170
картошка	0.040822
картошки	2.659260
картошкой	2.302585
картошку	2.207275
каруру	4.605170
карусель	4.605170
касание	4.605170
касл	3.506558
каспийского	4.605170
кассовой	4.605170
кастер	4.605170
кастрюля	4.605170
кастрюлями	4.605170
касуэла	4.605170
касэрол	3.218876
кася	3.506558
кат	4.605170
каталог	3.912023
каталонии	4.605170
катания	4.605170
катаниями	4.605170
кататься	4.605170
категории	0.116534
категорию	4.605170
категория	0.150823
катим	4.605170
катица	3.218876
католического	3.912023
катуша	4.605170
катюша	4.605170
катя	3.912023
кафе	2.207275
кафешках	4.605170
кахета	4.605170
кахеты	4.605170
качелях	4.605170
качества	3.912023
качествам	4.605170
качестве	1.609438
качество	0.116534
каша	0.040822
кашей	3.506558
каши	0.105361
каштановые	4.605170
кашу	0.094311
каюту	4.605170
квадратной	4.605170
квадратными	4.605170
квартире	4.605170
квас	0.040822
кваса	3.912023
квасили	4.605170
квасится	3.912023
квасное	0.116534
квасом	0.127833
квашеная	3.218876
квашеной	4.605170
квашеных	4.605170
кверху	4.605170
кветка	4.605170
квибек	4.605170
кг	3.912023
кебаб	2.995732
кеббе	4.605170
кедровые	3.912023
кейк	4.605170
кеймбридж	4.605170
кейп	3.912023
кекс	0.040822
кекса	3.912023
кексе	4.605170
кексик	4.605170
кексов	4.605170
кексы	0.116534
келоуна	3.912023
кем	4.605170
кен	4.605170
кентукки	4.605170
кесме	4.605170
кеснель	3.912023
кетчуп	1.560648
кетчупа	4.605170
кетчупов	4.605170
кетчупом	4.605170
кефали	4.605170
кефаль	4.605170
кефальки	4.605170
кефир	0.040822
кефира	4.605170
кефире	2.659260
кефирно	4.605170
кефирный	4.605170
кефиром	4.605170
кеши	4.605170
кешью	2.995732
кивок	4.605170
кидать	4.605170
киевски	4.605170
киллин	3.912023
кило	4.605170
килограмм	3.912023
килограммов	2.659260
кимберли	4.605170
кимчи	0.040822
кингман	4.605170
кинза	2.407946
киноа	0.127833
кинолента	0.116534
кинулась	4.605170
кипения	4.605170
кипятка	4.605170
кипятке	3.506558
кипящей	4.605170
кир	4.605170
киргизски	4.605170
кисель	0.040822
киску	4.605170
кислинка	4.605170
кислинкой	3.912023
кисло	3.506558
кисловат	4.605170
кисловато	4.605170
кисловатым	4.605170
кислой	4.605170
кислом	4.605170
кислородом	4.605170
кислота	3.912023
кислые	4.605170
кислый	3.912023
кислых	4.605170
кислят	4.605170
киссинген	4.605170
китае	3.912023
китай	4.605170
китайская	0.116534
китайски	3.218876
китайские	3.912023
китайский	2.813411
китайских	2.659260
китайского	4.605170
китайской	2.995732
китайском	3.218876
китайскую	3.912023
китайцев	4.605170
китаю	4.605170
китая	4.605170
китовые	4.605170
китченер	4.605170
киш	3.506558
киши	4.605170
кишках	4.605170
кишки	4.605170
кк	3.506558
ккал	2.302585
клаб	4.605170
клаве	4.605170
клавишам	4.605170
кладите	4.605170
кладём	4.605170
кларемор	4.605170
класс	0.116534
класса	4.605170
классе	3.912023
классика	3.912023
классике	4.605170
классическая	3.506558
классические	4.605170
классический	1.897120
классических	2.407946
классического	3.506558
классный	4.605170
классов	4.605170
классы	0.116534
клеить	4.605170
клейковина	4.605170
кленового	4.605170
кленовый	2.813411
кленовым	4.605170
клеточную	4.605170
клетчатка	4.605170
клецки	4.605170
клон	4.605170
клубника	3.912023
клубничного	4.605170
клубничный	4.605170
клубня	4.605170
клубочки	4.605170
клюква	3.218876
клюквой	4.605170
ключ	4.605170
кляр	4.605170
кляре	2.302585
клятву	4.605170
км	4.605170
кнедлики	4.605170
книг	3.912023
книга	3.218876
книгах	4.605170
книге	3.912023
книги	3.506558
книгу	0.040822
книжках	3.506558
книжке	3.912023
кнопки	3.506558
ко	1.469676
коблер	4.605170
ковалев	4.605170
коврижка	4.605170
ковшеобразную	4.605170
кого	1.714798
код	2.407946
кодиак	4.605170
кое	3.506558
коем	2.995732
кожа	4.605170
кожи	4.605170
козий	4.605170
козьим	4.605170
кока	4.605170
кокоса	4.605170
кокосовая	3.218876
кокосово	4.605170
кокосовое	3.506558
кокосовой	3.912023
кокосовом	4.605170
кокосовую	4.605170
кокосовые	4.605170
кокосовый	3.912023
кокосовым	4.605170
кокосом	4.605170
кокотниц	4.605170
кокотницы	4.605170
коктейлей	4.605170
коктейли	0.127833
коктейль	0.040822
коктейля	4.605170
кол	4.605170
коламбус	4.605170
колба	4.605170
колбас	4.605170
колбаса	0.040822
колбасками	4.605170
колбаски	2.995732
колбаску	3.912023
колбасные	4.605170
колбасными	0.116534
колбасных	4.605170
колбасой	3.506558
колбасу	2.813411
колбасы	2.995732
колдованию	4.605170
колдуны	2.813411
количества	2.813411
количестве	3.218876
количество	1.832581
количеством	3.218876
коллега	3.506558
коллеге	4.605170
коллегу	4.605170
коллектива	4.605170
коллекции	4.605170
коллекцию	4.605170
коллинзу	4.605170
кольца	4.605170
команда	0.127833
команде	3.218876
команды	4.605170
комбайна	4.605170
комбинацию	3.506558
коми	0.116534
комильфо	4.605170
комками	4.605170
комков	4.605170
комментариев	0.223144
комментарии	1.966113
комментарий	2.302585
комментариях	4.605170
комнатами	4.605170
комнатой	4.605170
компании	3.218876
компаний	0.105361
компания	3.912023
компаньоном	4.605170
комплименты	4.605170
композицией	2.995732
композицию	3.506558
композиция	4.605170
компонентами	3.912023
компонентов	4.605170
компот	0.040822
компромисов	4.605170
комте	3.506558
комтэ	4.605170
кому	1.347074
конвертиков	4.605170
кондитер	4.605170
кондитерская	4.605170
кондитерский	4.605170
кондитерских	4.605170
кондитерского	4.605170
кондитерской	2.525729
кондитерскую	3.506558
конец	3.506558
конечно	0.527633
конечной	4.605170
конины	0.116534
конкретной	2.659260
конкретном	4.605170
конкретные	4.605170
конкурс	0.105361
конкурса	0.116534
конкурсах	0.040822
конкурсе	2.302585
конкурсные	0.127833
конкурсных	4.605170
конкурсов	3.912023
конкурсы	3.506558
коннектикут	4.605170
консенсусу	4.605170
консервантов	4.605170
консервацию	4.605170
консервирование	0.040822
консервированная	0.116534
консервированное	0.116534
консервированной	4.605170
консервированные	0.116534
консервированный	0.116534
консервы	2.813411
консистенцией	4.605170
консистенции	2.813411
консистенция	3.506558
константин	3.912023
константином	4.605170
консультантам	3.218876
контакта	4.605170
контакте	2.407946
контактные	4.605170
контрастными	4.605170
контрольная	4.605170
конфет	3.912023
конфетам	4.605170
конфетки	2.995732
конфетку	4.605170
конфеток	4.605170
конфетти	0.116534
конфеты	0.040822
конфиденциальности	0.040822
конфитюр	0.040822
конфитюра	4.605170
конца	3.506558
конце	2.995732
концерта	4.605170
концертном	4.605170
концерты	4.605170
концов	3.912023
концу	4.605170
концы	3.912023
кончается	4.605170
коньяк	2.207275
копилочку	4.605170
копировать	4.605170
копия	4.605170
коптили	4.605170
копченая	3.506558
копчения	4.605170
копченой	4.605170
копчености	4.605170
копченостями	0.116534
копчёное	4.605170
копчёной	4.605170
корабля	4.605170
кордон	4.605170
корейка	3.912023
корейская	0.116534
корейски	0.040822
корейские	4.605170
корейский	4.605170
корейских	4.605170
корейской	4.605170
коренным	3.912023
коренья	3.506558
корж	2.302585
коржей	4.605170
коржи	4.605170
коржики	0.040822
корзинках	4.605170
корзинки	4.605170
корзиночки	4.605170
кориандр	1.469676
корица	1.427116
корицей	4.605170
корицу	3.912023
корицы	3.912023
коричневатого	4.605170
коричневого	3.912023
коричневой	4.605170
коричневый	1.386294
кормила	4.605170
кормящих	0.116534
корневой	2.995732
корнеплодов	4.605170
корнеплоды	4.605170
корнишоны	2.995732
корнуолл	4.605170
корнуэльский	2.525729
коровы	4.605170
коровьего	4.605170
королева	3.506558
королеве	4.605170
королевски	4.605170
королевские	3.506558
королевское	2.659260
королей	4.605170
корона	4.605170
коронный	3.912023
корону	4.605170
короткий	3.912023
короткое	4.605170
короче	2.995732
корочка	2.525729
корочке	2.813411
корочкой	1.771957
корочку	3.218876
коррективы	3.218876
корректную	4.605170
косичка	4.605170
космические	4.605170
космического	4.605170
костей	3.506558
кости	3.218876
костлявую	4.605170
костный	4.605170
косточках	4.605170
косточки	4.605170
кострам	2.407946
костюме	4.605170
костюмированным	4.605170
косушки	4.605170
кота	4.605170
котельной	3.912023
котлет	2.302585
котлета	3.218876
котлетах	2.525729
котлетки	2.813411
котлетой	3.506558
котлеток	3.912023
котлеты	0.040822
которого	2.120264
которой	2.207275
котором	3.218876
которому	0.116534
которую	1.966113
которым	2.302585
которыми	2.995732
которых	2.525729
котёл	4.605170
коул	4.605170
кофе	0.040822
кофейком	2.659260
кофейно	3.912023
кофейню	3.506558
кофитюр	4.605170
кофта	4.605170
кочан	4.605170
кочеррыжку	4.605170
кошачьих	4.605170
кошелька	3.506558
кошка	4.605170
краб	4.605170
крабов	4.605170
крабового	3.912023
крабовое	3.912023
крабовые	2.659260
крабовый	3.912023
крабовым	4.605170
крабовыми	3.912023
крабовых	4.605170
крайне	3.912023
красавец	2.659260
красив	4.605170
красивая	2.525729
красивейший	4.605170
красиво	1.832581
красивого	3.506558
красивое	3.912023
красивом	3.912023
красивооо	3.912023
красивую	3.912023
красивые	1.897120
красивый	2.659260
красивым	2.120264
красивыми	3.912023
красивых	3.912023
краситель	3.912023
красками	4.605170
краски	0.116534
красная	2.995732
красновато	4.605170
красного	3.912023
красное	3.912023
красной	3.912023
красную	3.912023
красный	1.171183
красным	3.912023
красота	3.912023
красотень	4.605170
красотища	4.605170
красотой	4.605170
красоточке	4.605170
красочный	3.912023
кратко	4.605170
краткосрочное	4.605170
краффин	4.605170
крахмал	0.891598
крахмалов	4.605170
крахмалу	4.605170
крахмалы	4.605170
края	4.605170
краям	4.605170
креатив	0.127833
креветками	3.218876
креветки	2.407946
креветок	3.218876
креветочного	4.605170
креветочный	3.912023
креветочным	4.605170
крем	0.040822
крема	0.116534
креманочках	4.605170
кремлевская	4.605170
кремовая	4.605170
кремового	4.605170
